source_file,NoiDung,React,CommentCount,Share,Comments,predicted_labels
data_bao_yagi.csv,"Báo Thanh Niên | · | o | S | t | o | d | e | r | s | p | n | 5 | 4 | á | 0 | u | h | 8 | 9 | g | f | i | 9 | 1 | 3 | f | m | 1 | h | h | a | t | 4 | u | 8 | h | 8 | t | n | 6 | 2 | 4 | g | i | 6 | 3 | 2 | i | 0 | 0 | 3 | u | 2 | g | l | 0 | , | 8 | · | BÃO YAGI THIỆT HẠI GẦN 2 TỈ USD, CHÍNH PHỦ BAN HÀNH GÓI HỖ TRỢ KHẨN CẤP | Chính phủ vừa ban hành Nghị quyết 143/NQ-CP ngày 17.9 khắc phục hậu quả bão số 3 (bão Yagi), nhanh chóng ổn định tình hình nhân dân, đẩy mạnh khôi phục sản xuất kinh doanh, tích cực thúc đẩy tăng trưởng kinh tế, kiểm soát tốt lạm phát. | Bão số 3 (bão Yagi) là cơn bão mạnh nhất trong 30 năm qua trên Biển Đông và trong 70 năm qua trên đất liền, với nhiều đặc điểm chưa từng có tiền lệ. | Xem chi tiết: https://thanhnien.vn/bao-yagi-thiet-hai-gan-2-ti-usd... | | 191 | 191 | 20 lượt chia sẻ | |",,,,,
data_bao_yagi.csv,"| | | Báo Thanh Niên | · | o | S | t | o | d | e | r | s | p | n | 5 | 4 | á | 0 | u | h | 8 | 9 | g | f | i | 9 | 8 | 3 | f | m | 1 | h | h | a | t | 4 | u | 8 | h | 8 | t | n | 6 | 2 | 4 | g | i | 6 | 3 | 2 | i | 0 | 0 | 3 | u | 2 | g | l | 0 | , | 8 | · | Bão số 3 (Yagi) gây nhiều thiệt hại cho các tỉnh miền Bắc | 13 giờ ngày 7.9, tâm bão số 3 (Yagi) vào Quảng Ninh và Hải Phòng với sức gió 149 km/giờ, khiến cây đổ khắp các tuyến phố, gây đắm thuyền và tốc mái nhiều ngôi nhà. Một số tỉnh mất điện diện rộng. | #bãoYagi | #thiệthại | | 115 | 115 | 5 bình luận | 21 lượt chia sẻ | |",,,,,Cơ sở hạ tầng
data_bao_yagi.csv,"| Trường THCS Liên Bão | · | o | S | t | o | d | e | r | s | p | n | 5 | 4 | á | 0 | u | h | 8 | 9 | g | f | i | 9 | 8 | 3 | f | m | 1 | h | h | a | t | 4 | u | 8 | h | 8 | t | n | 6 | 2 | 4 | g | i | 6 | 3 | 2 | i | 0 | 0 | 3 | u | 2 | g | l | 0 | , | 8 | · | BẢN TIN SAU BÃO YAGI | Vậy là cơn bão đã đi qua, chưa bao giờ thấy cơn bão nào to đi thẳng vào Miền Bắc như lần này. | Quả thật, con người thật nhỏ bé trước thiên nhiên hung dữ, bão Yagi đi qua để lại một bãi chiến trường đổ nát, hỗn độn. Rất nhiều trường học trên địa bàn huyện bị tổn thất nặng nề. | Nhờ làm tốt công tác chuẩn bị ứng phó với bão số 3, trường THCS Liên Bão rất may mắn khi chỉ có thiệt hại về cây cối: đổ 4 cây xà cừ, 1 cây keo. Học sinh sẽ phải chịu nắng mất vài năm để trồng cây mới | . | Ngay chiều hôm nay (8/9), Nhà trường đã khẩn trương khắc phục những hậu quả bão gây ra để sẵn sàng chào đón học sinh trở lại trường sau bão. Tập trung khắc phục sự cố, thiệt hại, có kế hoạch điều chỉnh lịch học trong trường hợp cần thiết để bảo đảm an toàn tuyệt đối cho học sinh khi đến trường.. | +19 | | 44 | 44 | 1 bình luận | 3 lượt chia sẻ | |",,,,,
data_bao_yagi.csv,"| Dự báo thời tiết VTV | · | r | o | s | p | o | d | e | n | S | t | t | 2 | 0 | g | 8 | t | 8 | 6 | 2 | 4 | 4 | n | c | 3 | a | 0 | 9 | 5 | t | u | 0 | t | 2 | g | 1 | h | c | l | c | f | 7 | c | u | l | h | g | 8 | 3 | á | m | g | t | , | u | 2 | 3 | 5 | · | Bão số 3 (YAGI) kéo giông trông quá kinh khủng | Cập nhật lúc 23h00 05/09/2024… | | 15K | 15K | 2,2K bình luận | 3,4K lượt chia sẻ | |",,,,,
data_bao_yagi.csv,"Báo Thanh Niên | · | o | S | t | o | d | e | r | s | p | n | 5 | 4 | á | 0 | u | h | 8 | 9 | g | f | i | 9 | 8 | 3 | f | m | 1 | h | h | a | t | 4 | u | 8 | h | 8 | t | n | 6 | 2 | 4 | g | i | 6 | 3 | 2 | i | 0 | 0 | 3 | u | 2 | g | l | 0 | , | 8 | · | Bão số 3 (Yagi) gây nhiều thiệt hại cho các tỉnh miền Bắc | 13 giờ ngày 7.9, tâm bão số 3 (Yagi) vào Quảng Ninh và Hải Phòng với sức gió 149 km/giờ, khiến cây đổ khắp các tuyến phố, gây đắm thuyền và tốc mái nhiều ngôi nhà. Một số tỉnh mất điện diện rộng. | #bãoYagi | #thiệthại | | 115 | 115 | 5 bình luận | 21 lượt chia sẻ | |",,,,,Cơ sở hạ tầng
data_bao_yagi.csv,"| Bao Anh | · | r | o | s | p | o | d | e | n | S | t | t | 2 | 0 | g | 8 | t | 8 | 6 | 2 | 4 | 4 | n | c | 1 | a | 0 | 2 | 5 | t | u | 0 | t | 2 | g | 1 | h | c | l | c | f | 7 | c | g | l | h | 8 | 3 | á | m | g | t | , | 1 | u | 2 | 3 | 1 | · | Sau trận bão Yagi chuối thiệt hại nhiều. | Nên kho e đặt dc tận vườn và nhận chạy chuối siêu đẹp phục vụ nhà mình cúng tết nha. | E nhận oder từ giờ lên mng cứ lên đơn nhé | +3 | | 35 | 35 | 21 bình luận | |",,,,,
data_bao_yagi.csv,"| Hải Nhím | đang cảm thấy biết ơn cùng | Nguyễn Thúy | và | 10 người khác | tại | Soi Coc Tan Phu Pho Yen Thai Nguyen | . | r | o | s | p | o | d | e | n | S | t | t | 2 | 0 | g | 8 | t | 8 | 6 | 2 | 4 | 4 | á | c | 3 | a | 0 | 9 | 5 | t | u | 0 | 2 | g | 1 | h | c | l | c | f | 7 | 5 | c | n | l | t | g | 8 | 3 | h | m | g | t | , | u | 2 | 3 | 1 | · | Da Phuc, Thái Nguyên | · | Cơn bão yagi đã để lại quá nhiều thiệt hại cho bà con vùng lũ . Nhân đây e xin chân thành cảm ơn các ban ngành. Các chú các anh trong đội cứu trợ đã gồng mh cùng bà con chống trọi với lũ mấy ngày qua. Và đặc biệt e xin cảm ơn anh chị Thiện -Thuý cùng tập thể cty may Tân Phú mấy ngày qua trực tiếp về soi cốc giúp bà con ( trong đó có nhà e) để dọn dẹp khắc phúc sau lũ - soi cốc mặc dù bị cô lập nhưng ko cô đơn- e xin chân thành cảm ơn tất cả | 0:00 / 4:07 | 0:00 / 0:19 | +13 | 2 bình luận | 1 lượt chia sẻ | |",,,,,Khác
data_bao_yagi.csv,"Trường THCS Liên Bão | · | o | S | t | o | d | e | r | s | p | n | 5 | 4 | á | 0 | u | h | 8 | 9 | g | f | i | 9 | 8 | 3 | f | m | 1 | h | h | a | t | 4 | u | 8 | h | 8 | t | n | 6 | 2 | 4 | g | i | 6 | 3 | 2 | i | 0 | 0 | 3 | u | 2 | g | l | 0 | , | 8 | · | BẢN TIN SAU BÃO YAGI | Vậy là cơn bão đã đi qua, chưa bao giờ thấy cơn bão nào to đi thẳng vào Miền Bắc như lần này. | Quả thật, con người thật nhỏ bé trước thiên nhiên hung dữ, bão Yagi đi qua để lại một bãi chiến trường đổ nát, hỗn độn. Rất nhiều trường học trên địa bàn huyện bị tổn thất nặng nề. | Nhờ làm tốt công tác chuẩn bị ứng phó với bão số 3, trường THCS Liên Bão rất may mắn khi chỉ có thiệt hại về cây cối: đổ 4 cây xà cừ, 1 cây keo. Học sinh sẽ phải chịu nắng mất vài năm để trồng cây mới | . | Ngay chiều hôm nay (8/9), Nhà trường đã khẩn trương khắc phục những hậu quả bão gây ra để sẵn sàng chào đón học sinh trở lại trường sau bão. Tập trung khắc phục sự cố, thiệt hại, có kế hoạch điều chỉnh lịch học trong trường hợp cần thiết để bảo đảm an toàn tuyệt đối cho học sinh khi đến trường.. | +19 | | 44 | 44 | 1 bình luận | 3 lượt chia sẻ | |",,,,,
data_bao_yagi.csv,"| Dự báo thời tiết VTV | · | r | o | s | p | o | d | e | n | S | t | t | 2 | 0 | g | 8 | t | 8 | 6 | 2 | 4 | 4 | n | c | 3 | a | 0 | 9 | 5 | t | u | 0 | t | 2 | g | 1 | h | c | l | c | f | 7 | c | u | l | h | g | 8 | 3 | á | m | g | t | , | u | 2 | 3 | 5 | · | Bão số 3 (YAGI) kéo giông trông quá kinh khủng | Cập nhật lúc 23h00 05/09/2024 | Bà con tuyệt đối không được chủ quan! | Hãy chủ động phòng chống sớm, giảm thiệt hại tối đa! | | 15K | 15K | 2,2K bình luận | 3,4K lượt chia sẻ | |",,,,,
data_bao_yagi.csv,"Bao Anh | · | r | o | s | p | o | d | e | n | S | t | t | 2 | 0 | g | 8 | t | 8 | 6 | 2 | 4 | 4 | n | c | 1 | a | 0 | 2 | 5 | t | u | 0 | t | 2 | g | 1 | h | c | l | c | f | 7 | c | g | l | h | 8 | 3 | á | m | g | t | , | 1 | u | 2 | 3 | 1 | · | Sau trận bão Yagi chuối thiệt hại nhiều. | Nên kho e đặt dc tận vườn và nhận chạy chuối siêu đẹp phục vụ nhà mình cúng tết nha. | E nhận oder từ giờ lên mng cứ lên đơn nhé | +3 | | 35 | 35 | 21 bình luận | |",,,,,
