STT,Nội Dung,React,Comment,Share,Danh sách Comment
1,"TRÒN 1 NĂM SAU CƠN BÃO YAGI,CƠN BÃO LỊCH SỬ.
Ad cũng đã phân tích rất kỹ về cơn bão này nên cũng không đào quá sâu về cơn bão này nữa,tuy nhiên sáng hôm nay,JTWC (Trung tâm cảnh báo liên hợp của Mỹ) đã lên lại danh sách best TRACK,nhằm đánh giá lại cường độ của 1 số cơn bão mà năm 2024 đã đánh giá sai. Trong đó có cơn bão Yagi được chỉnh sửa lại khá nhiều,cụ thể như sau:
Lưu ý:JTWC sử dụng gió 1 phút.
Cường độ đỉnh (1->2 lần)
Đỉnh lần 1:140kt,916mb ->140kt,912mb 
(Tức 260km/h duy trì 1 phút)
Lúc 4~7 giờ sáng ngày 5/9/2024
Đỉnh lần 2:130kt,923mb ->145kt,907mb
(Tức 270km/h duy trì 1 phút)
Lúc 1 giờ sáng ngày 6/9/2024
Như vậy có thể thấy Yagi đã làm điều mà các cơn bão khác trên biển đông chưa làm được là cơn bão mạnh nhất trên đông thời điểm hiện tại và là cơn siêu bão đầu tiên  đạt đỉnh 2 lần là siêu bão CAT 5 trên thang Saffir Simpson (các cơn siêu bão khác bao gồm Pamela,Rammasun,Rai cũng chỉ đồng đạt được 140kt và 1 đỉnh CAT 5). Cho thấy quả thực Yagi là cơn bão lịch sử,nó sẽ luôn là thước đo cho các cơn bão mạnh tương lai trên biển đông,và với hiện trạng biến đổi khí hậu,các cơn bão vượt mặt Yagi sẽ sớm xuất hiện.",3900,10,79,"Ad cũng đã phân tích rất kỹ về cơn bão này nên cũng không đào quá sâu về cơn bão này nữa,tuy nhiên sáng hôm nay,JTWC (Trung tâm cảnh báo liên hợp của Mỹ) đã lên lại danh sách best TRACK,nhằm đánh giá lại cường độ của 1 số cơn bão mà năm 2024 đã đánh giá sai. Trong đó có cơn bão Yagi được chỉnh sửa lại khá nhiều,cụ thể như sau: || Lưu ý:JTWC sử dụng gió 1 phút. || Cường độ đỉnh (1->2 lần) || Đỉnh lần 1:140kt,916mb ->140kt,912mb || (Tức 260km/h duy trì 1 phút) || Lúc 4~7 giờ sáng ngày 5/9/2024 || Đỉnh lần 2:130kt,923mb ->145kt,907mb || (Tức 270km/h duy trì 1 phút) || Lúc 1 giờ sáng ngày 6/9/2024 || Như vậy có thể thấy Yagi đã làm điều mà các cơn bão khác trên biển đông chưa làm được là cơn bão mạnh nhất trên đông thời điểm hiện tại và là cơn siêu bão đầu tiên  đạt đỉnh 2 lần là siêu bão CAT 5 trên thang Saffir Simpson (các cơn siêu bão khác bao gồm Pamela,Rammasun,Rai cũng chỉ đồng đạt được 140kt và 1 đỉnh CAT 5). Cho thấy quả thực Yagi là cơn bão lịch sử,nó sẽ luôn là thước đo cho các cơn bão mạnh tương lai trên biển đông,và với hiện trạng biến đổi khí hậu,các cơn bão vượt mặt Yagi sẽ sớm xuất hiện."
2," Hà Nội: Nhiều tuyến phố vắng lặng trước giờ bão Yagi đổ bộ
Sáng 7/9, do ảnh hưởng của bão Yagi, Hà Nội bắt đầu có mưa và gió. 9h sáng, mưa bắt đầu nặng hạt và gió mạnh dần. Nhiều tuyến phố Thủ đô vắng bóng xe cộ và người đi đường.
#hanoionline #daihanoi #baoso3 #baoyagi #tintuc",933,4,41,"Hà Nội: Nhiều tuyến phố vắng lặng trước giờ bão Yagi đổ bộ
Sáng 7/9, do ảnh hưởng của bão Yagi, Hà Nội bắt đầu có mưa và gió. 9h sáng, mưa bắt đầu nặng hạt và gió mạnh dần. Nhiều tuyến phố Thủ đô vắng bóng xe cộ và người đi đường.
#hanoionline #daihanoi #baoso3 #baoyagi #tintuc || Hà Nội: Nhiều tuyến phố vắng lặng trước giờ bão Yagi đổ bộ || Sáng 7/9, do ảnh hưởng của bão Yagi, Hà Nội bắt đầu có mưa và gió. 9h sáng, mưa bắt đầu nặng hạt và gió mạnh dần. Nhiều tuyến phố Thủ đô vắng bóng xe cộ và người đi đường. || #hanoionline #daihanoi #baoso3 #baoyagi #tintuc"
3,"Bão số 5 Kajiki rất đặc biệt, không kém bão Yagi về gió mạnh và đang di chuyển rất nhanh ",14,0,0,""
4,"Nỗi xót xa khi chết trong chính ngôi nhà của mình. 
Cơn bão Yagi năm ngoái cũng cuốn bay mái nhà của mẹ mình, trần nhà rơi rụng, trong nhà toang hoang như ngoài sân, nhà bếp cũng bay nóc, chuồng gà, tường bao, gà qué bị đổ chết bẹp, cây ăn quả, cây lâu năm cùng mấy sào lúa bị ngập đổ mất mùa. Nhưng với hoàn cảnh mẹ tôi - 1 người già hơn 60 tuổi, chân bị tàng tật, sức khoẻ già yếu. Sau tâm bão đêm đó không 1 người nào của chính quyền đến quan tâm hỏi han động viên, sau bão không được hỗ trợ 1 cắc. Mặc dù kinh phí sau bão Yagy chi cho huyện Quỳnh Phụ vài tỷ?
Nhưng năm nào mẹ tôi cũng phải bán từng hạt thóc đóng quỹ thiên tai 60 năm cuộc đời, ấy vậy mà gần 1 đời k may năm trc bị thiên tai nặng như vậy mà chẳng được nhà nước quan tâm tới.",27,3,1,"Cơn bão Yagi năm ngoái cũng cuốn bay mái nhà của mẹ mình, trần nhà rơi rụng, trong nhà toang hoang như ngoài sân, nhà bếp cũng bay nóc, chuồng gà, tường bao, gà qué bị đổ chết bẹp, cây ăn quả, cây lâu năm cùng mấy sào lúa bị ngập đổ mất mùa. Nhưng với hoàn cảnh mẹ tôi - 1 người già hơn 60 tuổi, chân bị tàng tật, sức khoẻ già yếu. Sau tâm bão đêm đó không 1 người nào của chính quyền đến quan tâm hỏi han động viên, sau bão không được hỗ trợ 1 cắc. Mặc dù kinh phí sau bão Yagy chi cho huyện Quỳnh Phụ vài tỷ? || Nhưng năm nào mẹ tôi cũng phải bán từng hạt thóc đóng quỹ thiên tai 60 năm cuộc đời, ấy vậy mà gần 1 đời k may năm trc bị thiên tai nặng như vậy mà chẳng được nhà nước quan tâm tới. || CHẤT VẤN GỬI THỦ TƯỚNG CHÍNH PHỦ"
5,"SOS 
: Bão số 5 #Kajiki được dự báo mạnh ngang bão Yagi năm 2024. 
Mong sao Bà Con <Thanh Hóa, Nghệ An, Hà Tĩnh, Quảng Trị> Bình An & May Mắn 
Ps: Hình ảnh bão #Yagi gây thiệt hại cho Quảng Ninh năm 2024.",359,2,3,"Mong sao Bà Con <Thanh Hóa, Nghệ An, Hà Tĩnh, Quảng Trị> Bình An & May Mắn || Ps: Hình ảnh bão #Yagi gây thiệt hại cho Quảng Ninh năm 2024."
6,"Cập nhật tình hình bão Yagi. Chỗ các bạn thế nào rồi?
 TTXVN",518,1,0,"TTXVN"
7,"CẬP NHẬT BÃO YAGI LÚC 2:00 AM NGÀY 7/9.
Như vậy bão YAGI đã vào Vịnh Bắc Bộ sớm hơn 4 tiếng so với dự báo. Lúc 2 giờ sáng nay theo cơ quan khí tượng Nhật Bản JMA vị trí tâm bão nằm trên khu vực phía Đông Bắc Vịnh Bắc Bộ sức gió mạnh nhất vùng gần tâm bão giảm đi một chút còn cấp 14 _ 85knots giật cấp 17.
Tâm bão còn cách đất liền các tỉnh Quảng Ninh Hải Phòng khoảng 150 km về phía Tây Tây Bắc với tốc độ di chuyển khoảng từ 15 - 20km/h tức là khoảng 10 - 11h AM sáng ngày 7/9 tâm bão sẽ đi vào đất liền Quảng Ninh Hải Phòng cụ thể là thành phố Cẩm phả tỉnh Quảng Ninh sớm hơn so với dự kiến ban đầu.
Bão đang tái tạo lại cấu trúc đĩa mây bão và con mắt bão mới có thể được thay thế có kích thước lớn hơn so với con mắt ở lúc trước khi vào đảo Hải Nam  cường độ của bão được các mô hình quốc tế đưa ra tiếp tục suy yếu chậm.
Lúc này trên Vịnh Bắc Bộ bề mặt nước biển rất ấm từ 30 - 31°C nên nhiều chuyên gia lo ngại kịch bản xấu nhất ít nhất khả năng bão vẫn giữ nguyên cấp 14 vào đất liền.
Mưa lớn do bão sẽ tập trung ở phần phía Nam của cơn bão do các đĩa mây phân tán phát triển đậm đặc ở khu vực phía nam của bão.
Mọi người tuyệt đối không được ra ngoài vào thời điểm từ sáng cho đến chiều ngày 7/ 9 vì mưa gió do bão sẽ rất lớn.
#khituonghoc
#biendoikhihau
#supertyphoonyagi2024",261,9,35,"Như vậy bão YAGI đã vào Vịnh Bắc Bộ sớm hơn 4 tiếng so với dự báo. Lúc 2 giờ sáng nay theo cơ quan khí tượng Nhật Bản JMA vị trí tâm bão nằm trên khu vực phía Đông Bắc Vịnh Bắc Bộ sức gió mạnh nhất vùng gần tâm bão giảm đi một chút còn cấp 14 _ 85knots giật cấp 17. || Tâm bão còn cách đất liền các tỉnh Quảng Ninh Hải Phòng khoảng 150 km về phía Tây Tây Bắc với tốc độ di chuyển khoảng từ 15 - 20km/h tức là khoảng 10 - 11h AM sáng ngày 7/9 tâm bão sẽ đi vào đất liền Quảng Ninh Hải Phòng cụ thể là thành phố Cẩm phả tỉnh Quảng Ninh sớm hơn so với dự kiến ban đầu. || Bão đang tái tạo lại cấu trúc đĩa mây bão và con mắt bão mới có thể được thay thế có kích thước lớn hơn so với con mắt ở lúc trước khi vào đảo Hải Nam  cường độ của bão được các mô hình quốc tế đưa ra tiếp tục suy yếu chậm. || Lúc này trên Vịnh Bắc Bộ bề mặt nước biển rất ấm từ 30 - 31°C nên nhiều chuyên gia lo ngại kịch bản xấu nhất ít nhất khả năng bão vẫn giữ nguyên cấp 14 vào đất liền. || Mưa lớn do bão sẽ tập trung ở phần phía Nam của cơn bão do các đĩa mây phân tán phát triển đậm đặc ở khu vực phía nam của bão. || Mọi người tuyệt đối không được ra ngoài vào thời điểm từ sáng cho đến chiều ngày 7/ 9 vì mưa gió do bão sẽ rất lớn. || #khituonghoc || #biendoikhihau || #supertyphoonyagi2024"
8,"Bão số 3 (Yagi) gây nhiều thiệt hại cho các tỉnh miền Bắc
13 giờ ngày 7.9, tâm bão số 3 (Yagi) vào Quảng Ninh và Hải Phòng với sức gió 149 km/giờ, khiến cây đổ khắp các tuyến phố, gây đắm thuyền và tốc mái nhiều ngôi nhà. Một số tỉnh mất điện diện rộng.
#bãoYagi
#thiệthại",115,3,21,"13 giờ ngày 7.9, tâm bão số 3 (Yagi) vào Quảng Ninh và Hải Phòng với sức gió 149 km/giờ, khiến cây đổ khắp các tuyến phố, gây đắm thuyền và tốc mái nhiều ngôi nhà. Một số tỉnh mất điện diện rộng. || #bãoYagi || #thiệthại"
9,"TRÒN 1 NĂM SAU CƠN BÃO YAGI,CƠN BÃO LỊCH SỬ.
Ad cũng đã phân tích rất kỹ về cơn bão này nên cũng không đào quá sâu về cơn bão này nữa,tuy nhiên sáng hôm nay,JTWC (Trung tâm cảnh báo liên hợp của Mỹ) đã lên lại danh sách best TRACK,nhằm đánh giá lại cường độ của 1 số cơn bão mà năm 2024 đã đánh giá sai. Trong đó có cơn bão Yagi được chỉnh sửa lại khá nhiều,cụ thể như sau:
Lưu ý:JTWC sử dụng gió 1 phút.
Cường độ đỉnh (1->2 lần)
Đỉnh lần 1:140kt,916mb ->140kt,912mb 
(Tức 260km/h duy trì 1 phút)
Lúc 4~7 giờ sáng ngày 5/9/2024
Đỉnh lần 2:130kt,923mb ->145kt,907mb
(Tức 270km/h duy trì 1 phút)
Lúc 1 giờ sáng ngày 6/9/2024
Như vậy có thể thấy Yagi đã làm điều mà các cơn bão khác trên biển đông chưa làm được là cơn bão mạnh nhất trên đông thời điểm hiện tại và là cơn siêu bão đầu tiên  đạt đỉnh 2 lần là siêu bão CAT 5 trên thang Saffir Simpson (các cơn siêu bão khác bao gồm Pamela,Rammasun,Rai cũng chỉ đồng đạt được 140kt và 1 đỉnh CAT 5). Cho thấy quả thực Yagi là cơn bão lịch sử,nó sẽ luôn là thước đo cho các cơn bão mạnh tương lai trên biển đông,và với hiện trạng biến đổi khí hậu,các cơn bão vượt mặt Yagi sẽ sớm xuất hiện.",3900,10,79,"Ad cũng đã phân tích rất kỹ về cơn bão này nên cũng không đào quá sâu về cơn bão này nữa,tuy nhiên sáng hôm nay,JTWC (Trung tâm cảnh báo liên hợp của Mỹ) đã lên lại danh sách best TRACK,nhằm đánh giá lại cường độ của 1 số cơn bão mà năm 2024 đã đánh giá sai. Trong đó có cơn bão Yagi được chỉnh sửa lại khá nhiều,cụ thể như sau: || Lưu ý:JTWC sử dụng gió 1 phút. || Cường độ đỉnh (1->2 lần) || Đỉnh lần 1:140kt,916mb ->140kt,912mb || (Tức 260km/h duy trì 1 phút) || Lúc 4~7 giờ sáng ngày 5/9/2024 || Đỉnh lần 2:130kt,923mb ->145kt,907mb || (Tức 270km/h duy trì 1 phút) || Lúc 1 giờ sáng ngày 6/9/2024 || Như vậy có thể thấy Yagi đã làm điều mà các cơn bão khác trên biển đông chưa làm được là cơn bão mạnh nhất trên đông thời điểm hiện tại và là cơn siêu bão đầu tiên  đạt đỉnh 2 lần là siêu bão CAT 5 trên thang Saffir Simpson (các cơn siêu bão khác bao gồm Pamela,Rammasun,Rai cũng chỉ đồng đạt được 140kt và 1 đỉnh CAT 5). Cho thấy quả thực Yagi là cơn bão lịch sử,nó sẽ luôn là thước đo cho các cơn bão mạnh tương lai trên biển đông,và với hiện trạng biến đổi khí hậu,các cơn bão vượt mặt Yagi sẽ sớm xuất hiện."
10," Hà Nội: Nhiều tuyến phố vắng lặng trước giờ bão Yagi đổ bộ
Sáng 7/9, do ảnh hưởng của bão Yagi, Hà Nội bắt đầu có mưa và gió. 9h sáng, mưa bắt đầu nặng hạt và gió mạnh dần. Nhiều tuyến phố Thủ đô vắng bóng xe cộ và người đi đường.
#hanoionline #daihanoi #baoso3 #baoyagi #tintuc",933,4,41,"Hà Nội: Nhiều tuyến phố vắng lặng trước giờ bão Yagi đổ bộ
Sáng 7/9, do ảnh hưởng của bão Yagi, Hà Nội bắt đầu có mưa và gió. 9h sáng, mưa bắt đầu nặng hạt và gió mạnh dần. Nhiều tuyến phố Thủ đô vắng bóng xe cộ và người đi đường.
#hanoionline #daihanoi #baoso3 #baoyagi #tintuc || Hà Nội: Nhiều tuyến phố vắng lặng trước giờ bão Yagi đổ bộ || Sáng 7/9, do ảnh hưởng của bão Yagi, Hà Nội bắt đầu có mưa và gió. 9h sáng, mưa bắt đầu nặng hạt và gió mạnh dần. Nhiều tuyến phố Thủ đô vắng bóng xe cộ và người đi đường. || #hanoionline #daihanoi #baoso3 #baoyagi #tintuc"
