STT,Nội Dung,React,Comment,Share,Danh sách Comment
1,"Thethao247.vn    · Theo dõi t o e s S d o r n p g f  8 h 3 5 7 7 á 8 8 0 4 , t 9 l g 4 0 2 5  h c 5 m 4 1 0 4 2 n 5 t l 2 7  1 h 3 8 7 1 h 2 4 9   · Cập nhật tình hình bão Yagi. Chỗ các bạn thế nào rồi?…  Tất cả cảm xúc: 518 518 43 bình luận",0,0,0,""
2,"Cộng Đồng Khí Tượng Thủy Văn Việt Nam   · Tham gia Xuân Phúc   · t o e s S d o r n p g f  8 h 3 5 7 7 á 8 8 0 4 , t 9 l g 4 0 2 5  h c 5 m 4 1 0 4 2 n 5 t l 2 7  1 h 3 8 7 1 h 2 4 9   · CẬP NHẬT BÃO YAGI LÚC 2:00 AM NGÀY 7/9. Như vậy bão YAGI đã vào Vịnh Bắc Bộ sớm hơn 4 tiếng so với dự báo. Lúc 2 giờ sáng nay theo cơ quan khí tượng Nhật Bản JMA vị trí tâm bão nằm trên khu vực phía Đông Bắc Vịnh Bắc Bộ sức gió mạnh nhất vùng gần tâm bão giảm đi một chút còn cấp 14 _ 85knots giật cấp 17. Tâm bão còn cách đất liền các tỉnh Quảng Ninh Hải Phòng khoảng 150 km về phía Tây Tây Bắc với tốc độ di chuyển khoảng từ 15 - 20km/h tức là khoảng 10 - 11h AM sáng ngày 7/9 …  Tất cả cảm xúc: 261 261 24 bình luận 35 lượt chia sẻ",0,2,35,"CẬP NHẬT BÃO YAGI LÚC 2:00 AM NGÀY 7/9. || Như vậy bão YAGI đã vào Vịnh Bắc Bộ sớm hơn 4 tiếng so với dự báo. Lúc 2 giờ sáng nay theo cơ quan khí tượng Nhật Bản JMA vị trí tâm bão nằm trên khu vực phía Đông Bắc Vịnh Bắc Bộ sức gió mạnh nhất vùng gần tâm bão giảm đi một chút còn cấp 14 _ 85knots giật cấp 17."
3,"Báo Thanh Niên    · Theo dõi t o e s S d o r n p g f  8 h 3 5 8 7 á 8 8 0 4 , t 9 l g 4 0 2 5  h c 5 m 4 1 0 4 2 n 5 t l 2 7  1 h 3 8 7 1 h 2 4 9   · Bão số 3 (Yagi) gây nhiều thiệt hại cho các tỉnh miền Bắc…  Tất cả cảm xúc: 115 115 5 bình luận 21 lượt chia sẻ",0,0,21,""
4,"Bão Nhiệt Đới   · Theo dõi s o t o S p e r d n  g 9 1 9 8 3 f t t l 0 a 8 7 c 8 f l t i t 0 h 4 h á 5  4 4 g i 1 c 4 9 5 t 0 9 f h h 9 f 8 l 1 n   · TRÒN 1 NĂM SAU CƠN BÃO YAGI,CƠN BÃO LỊCH SỬ.…  Tất cả cảm xúc: 3,9K 3,9K 492 bình luận 79 lượt chia sẻ",0,0,79,""
5,"Ngo Thanh Tung   · Theo dõi o o r d n S e p s t 2 4 h 0 8 g m l 7 4 2  i a g 4 m 9 i u 2 7 8 1 a f 9 h 8 0 9 4 5 a n g  g h l u á t i 1 7 0 0 7 3   · SOS  : Bão số 5 #Kajiki được dự báo mạnh ngang bão Yagi năm 2024.  Mong sao Bà Con <Thanh Hóa, Nghệ An, Hà Tĩnh, Quảng Trị> Bình An & May Mắn  …  Tất cả cảm xúc: 359 359 23 bình luận 3 lượt chia sẻ",0,1,3,"SOS 
: Bão số 5 #Kajiki được dự báo mạnh ngang bão Yagi năm 2024. "
6,"Thethao247.vn    · Theo dõi t o e s S d o r n p g f  8 h 3 5 7 7 á 8 8 0 4 , t 9 l g 4 0 2 5  h c 5 m 4 1 0 4 2 n 5 t l 2 7  1 h 3 8 7 1 h 2 4 9   · Cập nhật tình hình bão Yagi. Chỗ các bạn thế nào rồi?…  Tất cả cảm xúc: 518 518 43 bình luận",0,0,0,""
7,"Cộng Đồng Khí Tượng Thủy Văn Việt Nam   · Tham gia Xuân Phúc   · t o e s S d o r n p g f  8 h 3 5 7 7 á 8 8 0 4 , t 9 l g 4 0 2 5  h c 5 m 4 1 0 4 2 n 5 t l 2 7  1 h 3 8 7 1 h 2 4 9   · CẬP NHẬT BÃO YAGI LÚC 2:00 AM NGÀY 7/9. Như vậy bão YAGI đã vào Vịnh Bắc Bộ sớm hơn 4 tiếng so với dự báo. Lúc 2 giờ sáng nay theo cơ quan khí tượng Nhật Bản JMA vị trí tâm bão nằm trên khu vực phía Đông Bắc Vịnh Bắc Bộ sức gió mạnh nhất vùng gần tâm bão giảm đi một chút còn cấp 14 _ 85knots giật cấp 17. Tâm bão còn cách đất liền các tỉnh Quảng Ninh Hải Phòng khoảng 150 km về phía Tây Tây Bắc với tốc độ di chuyển khoảng từ 15 - 20km/h tức là khoảng 10 - 11h AM sáng ngày 7/9 …  Tất cả cảm xúc: 261 261 24 bình luận 35 lượt chia sẻ",0,2,35,"CẬP NHẬT BÃO YAGI LÚC 2:00 AM NGÀY 7/9. || Như vậy bão YAGI đã vào Vịnh Bắc Bộ sớm hơn 4 tiếng so với dự báo. Lúc 2 giờ sáng nay theo cơ quan khí tượng Nhật Bản JMA vị trí tâm bão nằm trên khu vực phía Đông Bắc Vịnh Bắc Bộ sức gió mạnh nhất vùng gần tâm bão giảm đi một chút còn cấp 14 _ 85knots giật cấp 17."
8,"Báo Thanh Niên    · Theo dõi t o e s S d o r n p g f  8 h 3 5 8 7 á 8 8 0 4 , t 9 l g 4 0 2 5  h c 5 m 4 1 0 4 2 n 5 t l 2 7  1 h 3 8 7 1 h 2 4 9   · Bão số 3 (Yagi) gây nhiều thiệt hại cho các tỉnh miền Bắc…  Tất cả cảm xúc: 115 115 5 bình luận 21 lượt chia sẻ",0,0,21,""
9,"Bão Nhiệt Đới   · Theo dõi s o t o S p e r d n  g 9 1 9 8 3 f t t l 0 a 8 7 c 8 f l t i t 0 h 4 h á 5  4 4 g i 1 c 4 9 5 t 0 9 f h h 9 f 8 l 1 n   · TRÒN 1 NĂM SAU CƠN BÃO YAGI,CƠN BÃO LỊCH SỬ.…  Tất cả cảm xúc: 3,9K 3,9K 492 bình luận 79 lượt chia sẻ",0,0,79,""
10,"Hà Nội Online    · Theo dõi s o t o S p e r d n t 2 2  9  3 h t t l 0 a 8 7 c 8 f l t i n 0 h 4 g 9 5 0 á 4 g i 1 c 7 9 5 t 0 9 f h h 9 f  l 1 ,   ·  Hà Nội: Nhiều tuyến phố vắng lặng trước giờ bão Yagi đổ bộ…  +6 Tất cả cảm xúc: 933 933 42 bình luận 41 lượt chia sẻ",0,0,41,""
