STT,NgayDang,Nội Dung,ReactTong,Share,CommentCount,Like,Love,Haha,Wow,Sad,Angry,Comments
1,2024-09-06,"henrydang1807 06/09/2024 Cơn bão Yagi đang đổ bộ, mong mọi người luôn bình an vô sự. Hãy chuẩn bị mọi phương án phòng bị cẩn thận nhất có thể . #henrydang #baoyagi  1 /",2,190,3800,2,0,0,0,0,0,"dr_cun_91 [br] 06/09/2024 [br] Bạn ở đâu mà gió dữ v nè [br] 1 ||| henrydang1807 [br] 08/09/2024 [br] · [br] Tác giả [br] Có gu k ||| spicybabi [br] 07/09/2024 [br] Nhà cozy thật sự [br] 3 ||| harry.jjl [br] 07/09/2024 [br] Nhà chill quá. Vì video này mà phải follow cả insta để học hỏi gu chill này của bác =)) [br] 2 [br] 1 ||| le.viviana_hb [br] 07/09/2024 [br] nice view   [br] Dịch ||| henrydang1807 [br] 08/09/2024 [br] · [br] Tác giả [br] Cảm ơn Yến nhiều <3 ||| xulinh_may25 [br] 07/09/2024 [br] Cái view hết nút e ơi [br] 1 [br] 1 ||| chii.chiiiiii [br] 07/09/2024 [br] Klp mà nhà đẹp quá ||| qnguyenbryan [br] 07/09/2024 [br] Nhà đẹp quá! ||| loi.dc [br] 07/09/2024 [br] Wow không cần dán cửa kính luôn ||| diepla.nguyen [br] 06/09/2024 [br] Nhà đẹp quá hihi ||| linhlinhchung [br] 13/09/2024 [br] Ui nhìn cửa sổ nhà anh mà cảm nhận bão dữ dội thế nào, bên trong bình yên ||| sjy_sz [br] 06/09/2024 [br] nhà chill quá ||| vananhtran666 [br] 06/09/2024 [br] Hic nhà mình cũng nhìu cửa kính tnay cứ lo lo 🥹 [br] 2 [br] 1 ||| henrydang1807 [br] 08/09/2024 [br] · [br] Tác giả [br] May quá bão qua r :) [br] 1 ||| henrydang1807 [br] 08/09/2024 [br] · [br] Tác giả [br] Được KTS khen đẹp thì chắc là đúng r, cảm ơn b nhiều [br] 1 [br] 1 ||| jamieminh [br] 07/09/2024 [br] Interior so chill 💆‍♂️   [br] Dịch [br] 1 ||| henrydang1807 [br] 08/09/2024 [br] · [br] Tác giả [br] Cảm ơn Trà nhiều nhé <3 ||| t_tcryonmyshoulder [br] 07/09/2024 [br] Anh ơi, khi nào anh làm asmr tiếng mưa ở nhà anh đi ạ. Em thấy nó bình yên lắm ạ [br] 1 ||| ynhimei [br] 07/09/2024 [br] Nhà đẹp quó, này b tự thiết kế hay s á [br] 2 [br] 1 ||| tnhiivo [br] 09/09/2024 [br] Quâ đãaa ||| henrydang1807 [br] 08/09/2024 [br] · [br] Tác giả [br] Thank u Jamie   [br] Dịch [br] 1 ||| henrydang1807 [br] 07/09/2024 [br] · [br] Tác giả [br] Đúng r b ah 😙 ||| katienguyen2488 [br] 07/09/2024 [br] 😲 ||| red__1620 [br] 07/09/2024 [br] Như câu nói, ngoài kia giông bão về nhà có a zị ||| yeen_do [br] 07/09/2024 [br] Nhà bạn đẹp quá. mình thích phong cách đèn nhỏ như thế, cảm giác ấm cúng ấy [br] 1 ||| henrydang1807 [br] 08/09/2024 [br] · [br] Tác giả [br] Anh làm thì nhớ xem nhé ||| kohaarchi [br] 06/09/2024 [br] Đẹp, mình phải fl bạn [br] 1 [br] 1 ||| thaithanh78 [br] 07/09/2024 [br] Nhìn bên ngoài sợ thật ||| henrydang1807 [br] 08/09/2024 [br] · [br] Tác giả [br] Cảm ơn bạn nhiều, hôm nay tan bão thì mọi thứ đều tốt đẹp [br] 1 ||| tuantai0802 [br] 07/09/2024 [br] Phong ba bão táp bên ngoài luôn [br] 1 ||| henrydang1807 [br] 08/09/2024 [br] · [br] Tác giả [br] Mình ở Hn Cún ơi [br] 1 [br] 1 ||| paulngn [br] 07/09/2024 [br] :> đẹp vãiii [br] 1 [br] 1 ||| davy_reth [br] 07/09/2024 [br] Hi ||| huongtraa_._ [br] 06/09/2024 [br] Nhà nhìn ấm áp quá an [br] 1 [br] 1 ||| blvckno.boutique [br] 07/09/2024 [br] Của kính ntn ok ko ạ? Mình cứ sợ bị vỡ… nhưng mong nhà bạn và mn đều an toàn cả nhé! ❤️ [br] 2 [br] 1 ||| tnhiivo [br] 07/09/2024 [br] @uyph9 [br] cái nhà mê [br] 1 ||| hoangquynhanh.order [br] 06/09/2024 [br] Đẹp đỉnh [br] 1 [br] 1 ||| henrydang1807 [br] 02/10/2024 [br] Đèn sàn arcylic : s.shopee.vn/5AZFf… [br] Đèn nấm : s.shopee.vn/700tq… [br] Đèn donut : s.shopee.vn/8UqbP…  [br] 2 [br] / [br] 2 [br] s.shopee.vn [br] Đèn DONUT thủy tinh màu cam trendy, nút bạc cảm ứng sang trọng, để bàn, treo tường WINSUM - DTA01 | Shopee Việt Nam [br] 1 ||| henrydang1807 [br] 08/09/2024 [br] · [br] Tác giả [br] Trời ơi, cảm ơn Harry nhiều <3 ||| lucypham0302 [br] 07/09/2024 [br] @minhtrung9595 [br] tầm qtr của ngôi nhà😄🏠 ||| kohaarchi [br] 08/09/2024 [br] Đẹp và dễ thương, nhìn thoải mái mắt ah, kiểu nhẹ nhàng ||| henrydang1807 [br] 08/09/2024 [br] · [br] Tác giả [br] Ui chị Xu à, e cảm ơn chị <3 ||| dr_cun_91 [br] 08/09/2024 [br] Sau cơn mưa trời lại sáng 😅 ||| henrydang1807 [br] 08/09/2024 [br] · [br] Tác giả [br] May quá bão qua r"
2,2024-09-12,"kthanh_1711 12/09/2024 “Tao không đói, vợ con tao ch.et cả rồi. Cho tao ba cỗ quan tài được không” Câu nói mà trái tim cứng rắn nhất cũng phải rơi nước mắt  😣😣😣#poliçe #cupplegoals #baoyagi",1100,45,10,1100,0,0,0,0,0,"congthien95_hihi [br] 12/09/2024 [br] Nam mô a di đà Phật ||| ventran089 [br] 12/09/2024 [br] 🥹😓 đọc câu nói mà đau cả lòng [br] 1 ||| luongthuytrang.54379 [br] 12/09/2024 [br] Thương [br] 1 ||| linh.hahaa [br] 12/09/2024 [br] Thắt cả cõi lòng 😭 [br] 1 ||| thaithanh78 [br] 12/09/2024 [br] 😢😢 [br] 1"
3,2024-09-09,"_mai.bui_ baoyagi 09/09/2024 Lưu trữ những bức ảnh cuối chụp tại PĐP trước khi bão tới ở đây để nhớ dáng vẻ con phố đã từng đẹp đến mức nào🥺🥺🥺 Huhu baoyagi trả lại PĐP cho tuiiiiiii  1 /",2,8,11,2,0,0,0,0,0,"an_duahau [br] 09/09/2024 [br] Có link tiktok nghiệm thu toco hem cho xem vs ||| journal.de_rim [br] 09/09/2024 [br] Chị này quá trẻ và đẹp [br] 1 ||| _intipity_ [br] 09/09/2024 [br] em này xinh quá có ny chưa [br] 1 ||| th.miufap49 [br] 09/09/2024 [br] oi tr [br] 1 ||| _mai.bui_ [br] thread #trending [br] 09/09/2024 [br] thread #trending  [br] 2 [br] / [br] 2 ||| _mai.bui_ [br] 09/09/2024 [br] · [br] Tác giả [br] Ouch :((( chưa ai có đc e ạ ||| _mai.bui_ [br] 09/09/2024 [br] · [br] Tác giả [br] 18 tuổi k hơn!"
4,2024-09-16,"tranphuongthuyen.tran baoyagi 16/09/2024 Tự nhủ mình…. Nếu sáng nay đồng hồ báo thức reo sớm, đừng bực dọc mà hãy trân trọng điều đó vì chúng ta còn có thể thấy ánh mặt trời sớm mai.  Những điều chúng ta trãi qua mỗi ngày đều là những điều quý giá ❤️ Nhìn những hình ảnh thiệt hại sau đợt bão lũ vừa rồi, mới thấy cuộc đời còn nhẹ nhàng với mình chán ❤️ baoyagi",896,44,1,896,0,0,0,0,0,"_phchien [br] 17/09/2024 [br] 🖤 [br] 1"
5,2024-09-11,"berrybeautiful211 baoyagi 11/09/2024 Ý là trong khi cả nước đang hỗ trợ bão lũ mà vẫn có những thành phần như này ạ? k hiểu nghĩ gì luôn á @@ mọi người có thể vào xem qua baoyagi 2",1046,0,0,1046,0,0,0,0,0,""
6,2024-09-12,"chiem.chiepp 12/09/2024 [ Chiến dịch kêu gọi gây quỹ cứu trợ đồng bào miền lũ của Chiêm Chiếpp ] Chương trình diễn ra từ 12/09 đến 27/09. Chi tiết về quy định và cam kết sẽ được đăng vào 9h tối nay. Mong mọi người sẽ theo dõi và đóng góp cùng chúng mình nhaa💐 #chiemchiepp #baoyagi",12,7,6,12,0,0,0,0,0,""
7,2025-09-28,"n_vthien 28/09/2025 Yêu quái bắt đầu vào Nghệ An ,không biết camera trụ nổi qua đêm nay không #baoyagi #baoso10 #nghean #fybシ #mientrung 1",739,0,0,739,0,0,0,0,0,""
8,2024-09-11,"photopalette_vn baoyagi 11/09/2024 CÙNG PHOTO PALETTE CHUNG TAY GÓP SỨC, SẺ CHIA NỖI ĐAU BÃO LŨ Chúng tôi xin gửi lời chia buồn chân thành và sâu sắc nhất tới tất cả những gia đình và cá nhân bị ảnh hưởng bởi cơn bão số 3 và lũ lụt kinh hoàng ở các tỉnh miền Bắc Việt Nam. Dù rất tiếc vì không thể ủng hộ nhiều hơn, nhưng Photo Palette chân thành hy vọng rằng sự đóng góp nhỏ bé này có thể mang lại một chút an ủi và niềm tin cho đồng bào miền Bắc thêm vững tâm, vượt qua khó khăn trước mắt. baoyagi  1 /",2,10,113,2,0,0,0,0,0,"tr.vianhh [br] 11/09/2024 [br] EM CHO SỐP 100000 ĐIỂM ||| photopalette_vn [br] 11/09/2024 [br] Chúng tôi mong muốn chia sẻ tin tức này với tất cả những ai yêu mến Photo Palette để cùng nhau cổ vũ và hỗ trợ nhau. Cho đến khi thiệt hại này được khắc phục hoàn toàn, chúng tôi sẽ luôn cổ vũ và cầu nguyện cho các bạn. [br] Tập thể nhân viên Photo Palette.  [br] 2 [br] / [br] 2 [br] 11 [br] 1 ||| lgiangg__ [br] 11/09/2024 [br] em yêu shop em yêu shop🫶🏻🫶🏻 ||| tr.vianhh [br] 11/09/2024 [br] sốp yêu của em 🫰🏻🫰🏻🫰🏻 ||| thnah.ha [br] 11/09/2024 [br] HUHU TỰ HÀO QUÁ SỐP ƠI🇻🇳🇰🇷 ||| tr.vianhh [br] 11/09/2024 [br] SỐP THẬT TUYỆT VỜI Ạ"
9,2024-09-10,"_haianhngn baoyagi 10/09/2024 Thái Nguyên ơi đừng mưa nữa!!! Người dân khổ lắm rồi🥹🙏🏻baoyagi 3",1415,0,0,1415,0,0,0,0,0,""
10,2024-09-11,"nghienhanoi.official baoyagi 11/09/2024 Là người Việt Nam, mình cảm thấy vô cùng tự hào và biết ơn trước tinh thần đoàn kết, tương thân tương ái của đồng bào cả nước, hướng về những tỉnh, thành phố chịu thiệt hại của Bão Yagi 🇻🇳 Xin gửi lời tri ân sâu sắc đến Đất Nước, Chính Phủ, lực lượng quân đội và tất cả những ai tham gia công tác phòng chống bão lũ, vì sự tận tâm và những hành động phi thường, đầy nhân ái. Nếu có kiếp sau thì vẫn muốn làm người Việt Nam, nếu có là hòn đá cũng phải ở trên đất Việt Nam. baoyagi",41,6,1,41,0,0,0,0,0,"minhtam.mtv92 [br] 17/09/2024 [br] Dùng app nào vậy ạ"
